op_id_v1,region_id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc,cell_line,T
CT-AAVS1_1,R0001,30,0.16376,0.44128,0.999996,387,6,-0.0036988,0.3799599999999999,0.69787,0.999996,634,5,-0.0036988,HEK,1
CT-AAVS1_10,R0002,24,0.043043,0.17751,0.853735,231,8,-0.031784,0.96455,0.98672,0.999996,1014,2,-0.031784,HEK,1
CT-AAVS1_2,R0003,30,0.063521,0.2363199999999999,0.999996,260,10,-0.0376839999999999,0.98391,0.99231,0.999996,1040,2,-0.0376839999999999,HEK,1
CT-AAVS1_3,R0004,30,0.039335,0.16649,0.818475,226,8,-0.0059503,0.70419,0.89733,0.999996,836,5,-0.0059503,HEK,1
CT-AAVS1_4,R0005,30,0.017866,0.090325,0.566958,177,10,-0.010997,0.57584,0.8339,0.999996,761,5,-0.010997,HEK,1
CT-AAVS1_5,R0006,30,0.47644,0.77161,0.999996,659,5,-0.018327,0.11055,0.34489,0.999996,360,9,-0.018327,HEK,1
CT-AAVS1_6,R0007,30,0.5150899999999999,0.79747,0.999996,685,4,0.0139449999999999,0.041804,0.17584,0.816068,239,9,0.0139449999999999,HEK,1
CT-AAVS1_7,R0008,30,0.086887,0.29441,0.999996,287,8,-0.003486,0.62302,0.8607799999999999,0.999996,790,4,-0.003486,HEK,1
CT-AAVS1_8,R0009,30,0.13541,0.39307,0.999996,355,8,-0.015361,0.99595,0.9974,0.999996,1058,1,-0.015361,HEK,1
CT-AAVS1_9,R0010,30,0.2675099999999999,0.58394,0.999996,481,8,-0.0081337,0.49545,0.78562,0.999996,718,5,-0.0081337,HEK,1
CT-ABL1,R0011,12,0.52578,0.80372,0.999996,690,1,0.021849,0.18944,0.4827399999999999,0.999996,462,3,0.021849,HEK,1
CT-ACVR1B,R0012,12,0.46466,0.7631600000000001,0.999996,650,2,0.00076883,0.94216,0.98013,0.999996,986,0,0.00076883,HEK,1
CT-ADAMTSL3,R0013,30,0.99889,0.99906,0.999996,1090,1,0.021769,0.31303,0.63675,0.999996,588,5,0.021769,HEK,1
CT-ADAT1,R0014,30,0.55794,0.8234100000000001,0.999996,716,5,0.025956,0.062044,0.23283,0.933856,277,10,0.025956,HEK,1
CT-AKT1,R0015,30,0.0096822,0.054812,0.395113,153,11,-0.0251389999999999,0.68313,0.88885,0.999996,826,1,-0.0251389999999999,HEK,1
CT-ALDH16A1,R0016,30,0.70518,0.8966299999999999,0.999996,814,4,-0.011093,0.39035,0.70658,0.999996,640,3,-0.011093,HEK,1
CT-AMER1,R0017,15,0.012708,0.0690799999999999,0.47485,161,6,-0.0385649999999999,0.84357,0.94948,0.999996,916,2,-0.0385649999999999,HEK,1
CT-ANKRD22,R0018,27,0.35465,0.67292,0.999996,557,6,-0.0084359,0.90966,0.97083,0.999996,960,3,-0.0084359,HEK,1
CT-APC,R0019,15,0.68178,0.8865,0.999996,805,1,0.0017258,0.4518399999999999,0.7561,0.999996,690,2,0.0017258,HEK,1
CT-AQP1,R0020,15,0.36333,0.68087,0.999996,566,4,-0.01584,0.2959,0.6176699999999999,0.999996,575,3,-0.01584,HEK,1
CT-ARID1A,R0021,15,0.065683,0.24189,0.999996,263,6,-0.016928,0.78901,0.93072,0.999996,878,1,-0.016928,HEK,1
CT-ARID1B,R0022,15,0.038089,0.16279,0.814669,222,6,-0.016891,0.81179,0.93803,0.999996,893,1,-0.016891,HEK,1
CT-ARID2,R0023,15,0.049112,0.19597,0.906616,240,6,-0.034225,0.6634800000000001,0.88,0.999996,809,1,-0.034225,HEK,1
CT-ASAP,R0024,30,0.99909,0.99926,0.999996,1092,0,0.01805,0.15385,0.42722,0.999996,423,9,0.01805,HEK,1
CT-ASXL1,R0025,15,0.0051615,0.032666,0.259229,140,7,-0.061389,0.99926,0.99943,0.999996,1077,0,-0.061389,HEK,1
CT-ATM,R0026,30,0.16187,0.43833,0.999996,384,4,0.0092786,0.67647,0.8859799999999999,0.999996,819,4,0.0092786,HEK,1
CT-ATRX,R0027,15,0.35836,0.67624,0.999996,562,3,0.011781,0.49935,0.78819,0.999996,722,3,0.011781,HEK,1
CT-AXIN1,R0028,15,0.2697,0.5868399999999999,0.999996,482,4,-0.0289149999999999,0.84426,0.94977,0.999996,919,2,-0.0289149999999999,HEK,1
CT-B2M,R0029,15,0.30089,0.62129,0.999996,512,3,0.02546,0.12772,0.3788,0.999996,388,3,0.02546,HEK,1
CT-BAP1,R0030,15,0.0008552,0.0068844,0.073543,104,9,-0.072424,0.99971,0.99976,0.999996,1088,0,-0.072424,HEK,1
CT-BCOR,R0031,15,0.040829,0.17069,0.8317479999999999,228,6,-0.048933,0.97726,0.99006,0.999996,1027,0,-0.048933,HEK,1
CT-BECN1,R0032,30,0.0001448,0.0015015999999999,0.0208539999999999,80,11,-0.031859,0.13348,0.39006,0.999996,395,4,-0.031859,HEK,1
CT-BRAF,R0033,15,0.65007,0.87246,0.999996,782,2,0.0247389999999999,0.5131100000000001,0.7971199999999999,0.999996,728,2,0.0247389999999999,HEK,1
