op_id_v2,cut,1st_exon,op_type_v2,exon_id,region_id,transcript_id,gene_id,exon_number,gene_type
EANN00004815|R0646|DP|ENST00000418088.6|6,dpar,0,DP,EANN00004815,R0646,ENST00000418088.6,ENSG00000227372.12,6,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000418088.6|5,dcom,0,DC,EANN00004866,R0890,ENST00000418088.6,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004871|R0647|DC|ENST00000418088.6|4,dcom,0,DC,EANN00004871,R0647,ENST00000418088.6,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000418088.6|3,dcom,0,DC,EANN00004876,R0647,ENST00000418088.6,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004817|R0646|DP|ENST00000648479.1|5,dpar,0,DP,EANN00004817,R0646,ENST00000648479.1,ENSG00000227372.12,5,transcribed_unitary_pseudogene
EANN00004866|R0890|DC|ENST00000648479.1|4,dcom,0,DC,EANN00004866,R0890,ENST00000648479.1,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004873|R0647|DC|ENST00000648479.1|3,dcom,0,DC,EANN00004873,R0647,ENST00000648479.1,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000648479.1|2,dcom,0,DC,EANN00004876,R0647,ENST00000648479.1,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004821|R0646|DP|T001678|2,dpar,0,DP,EANN00004821,R0646,T001678,G000221,2,tucp
EANN00004866|R0890|DC|T001678|3,dcom,0,DC,EANN00004866,R0890,T001678,G000221,3,tucp
EANN00004872|R0647|DC|T001678|4,dcom,0,DC,EANN00004872,R0647,T001678,G000221,4,tucp
EANN00004876|R0647|DC|T001678|5,dcom,0,DC,EANN00004876,R0647,T001678,G000221,5,tucp
EANN00004821|R0646|DP|T001680|2,dpar,0,DP,EANN00004821,R0646,T001680,G000221,2,tucp
EANN00004866|R0890|DC|T001680|3,dcom,0,DC,EANN00004866,R0890,T001680,G000221,3,tucp
EANN00004871|R0647|DC|T001680|4,dcom,0,DC,EANN00004871,R0647,T001680,G000221,4,tucp
EANN00004876|R0647|DC|T001680|5,dcom,0,DC,EANN00004876,R0647,T001680,G000221,5,tucp
EANN00004822|R0646|DP|T001676|2,dpar,0,DP,EANN00004822,R0646,T001676,G000221,2,tucp
EANN00004822|R0889|DI|T001676|2,dins,0,DI,EANN00004822,R0889,T001676,G000221,2,tucp
EANN00004866|R0890|DC|T001676|3,dcom,0,DC,EANN00004866,R0890,T001676,G000221,3,tucp
EANN00004872|R0647|DC|T001676|4,dcom,0,DC,EANN00004872,R0647,T001676,G000221,4,tucp
EANN00004876|R0647|DC|T001676|5,dcom,0,DC,EANN00004876,R0647,T001676,G000221,5,tucp
EANN00004822|R0646|DP|T001677|2,dpar,0,DP,EANN00004822,R0646,T001677,G000221,2,tucp
EANN00004822|R0889|DI|T001677|2,dins,0,DI,EANN00004822,R0889,T001677,G000221,2,tucp
EANN00004866|R0890|DC|T001677|3,dcom,0,DC,EANN00004866,R0890,T001677,G000221,3,tucp
EANN00004871|R0647|DC|T001677|4,dcom,0,DC,EANN00004871,R0647,T001677,G000221,4,tucp
EANN00004876|R0647|DC|T001677|5,dcom,0,DC,EANN00004876,R0647,T001677,G000221,5,tucp
EANN00004823|R0646|DI|T001683|2,dins,0,DI,EANN00004823,R0646,T001683,G000221,2,lncRNA
EANN00004823|R0889|DI|T001683|2,dins,0,DI,EANN00004823,R0889,T001683,G000221,2,lncRNA
EANN00004823|R0890|DP|T001683|2,dpar,0,DP,EANN00004823,R0890,T001683,G000221,2,lncRNA
EANN00004871|R0647|DC|T001683|3,dcom,0,DC,EANN00004871,R0647,T001683,G000221,3,lncRNA
EANN00004876|R0647|DC|T001683|4,dcom,0,DC,EANN00004876,R0647,T001683,G000221,4,lncRNA
EANN00004824|R0646|DI|ENST00000452079.5|4,dins,0,DI,EANN00004824,R0646,ENST00000452079.5,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004824|R0889|DI|ENST00000452079.5|4,dins,0,DI,EANN00004824,R0889,ENST00000452079.5,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004824|R0890|DP|ENST00000452079.5|4,dpar,0,DP,EANN00004824,R0890,ENST00000452079.5,ENSG00000227372.12,4,transcribed_unitary_pseudogene
EANN00004871|R0647|DC|ENST00000452079.5|3,dcom,0,DC,EANN00004871,R0647,ENST00000452079.5,ENSG00000227372.12,3,transcribed_unitary_pseudogene
EANN00004876|R0647|DC|ENST00000452079.5|2,dcom,0,DC,EANN00004876,R0647,ENST00000452079.5,ENSG00000227372.12,2,transcribed_unitary_pseudogene
EANN00004824|R0646|DI|T001691|1,dins,1,DI,EANN00004824,R0646,T001691,G000221,1,lncRNA
EANN00004824|R0889|DI|T001691|1,dins,1,DI,EANN00004824,R0889,T001691,G000221,1,lncRNA
